,code
1011,978
1012,977
1013,976
1014,975
1015,974
1016,973
1017,972
1018,971
1019,970
1020,969
1021,968
1022,967
1023,966
1024,965
1025,964
1026,963
1027,962
1028,961
1029,960
1030,959
1031,958
1032,957
1033,955
1034,954
1035,950
1036,949
1037,948
1038,947
1039,945
1040,946
1041,944
1042,943
1043,942
1044,939
1045,938
1046,937
1047,936
1048,935
1049,933
1050,934
1051,932
1052,931
1053,929
1054,928
1055,927
1056,926
1057,925
1058,924
1059,923
1060,922
1061,921
1062,920
1063,919
1064,930
1065,918
1066,917
1067,916
1068,915
1069,914
1070,913
1071,911
1072,910
1073,908
1074,907
1075,906
1076,904
1077,903
1078,902
1079,901
1080,900
1081,905
1082,899
1083,898
1084,896
1085,895
1086,897
1087,894
1088,893
1089,890
1090,889
1091,888
1092,891
1093,887
1094,885
1095,884
1096,886
1097,883
1098,882
1099,881
1100,880
1101,879
1102,878
1103,877
1104,876
1105,875
1106,873
1107,874
1108,872
1109,871
1110,870
1111,868
1112,867
1113,869
1114,866
1115,865
1116,864
1117,861
1118,863
1119,860
1120,859
1121,858
1122,857
1123,856
1124,855
1125,854
1126,853
1127,851
1128,850
1129,849
1130,852
1131,848
1132,847
1133,845
1134,844
1135,843
1136,846
1137,842
1138,841
1139,840
1140,839
1141,838
1142,837
1143,836
1144,834
1145,835
1146,833
1147,832
1148,831
1149,830
1150,829
1151,828
1152,827
1153,826
1154,825
1155,824
1156,823
1157,821
1158,822
1159,820
1160,6004
1161,819
1162,6001
1163,818
1164,5997
1165,817
1166,5994
1167,5991
1168,815
1169,5983
1170,5980
1171,814
1172,813
1173,5976
1174,812
1175,5972
1176,811
1177,5968
1178,810
1179,5965
1180,809
1181,5962
1182,808
1183,5959
1184,806
1185,5956
1186,5953
1187,807
1188,805
1189,5949
1190,804
1191,5946
1192,803
1193,5943
1194,5940
1195,802
1196,801
1197,5936
1198,800
1199,799
1200,5933
1201,796
1202,5929
1203,5926
1204,797
1205,795
1206,5922
1207,794
1208,5919
1209,793
1210,792
1211,5917
1212,5914
1213,791
1214,5911
1215,790
1216,789
1217,5903
1218,788
1219,5900
1220,787
1221,5896
1222,786
1223,5893
1224,784
1225,5890
1226,783
1227,5886
1228,5884
1229,785
1230,782
1231,5880
1232,780
1233,5877
1234,5873
1235,779
1236,5870
1237,5867
1238,777
1239,5861
1240,778
1241,776
1242,5856
1243,775
1244,5847
1245,773
1246,5843
1247,5840
1248,5838
1249,774
1250,772
1251,5835
1252,771
1253,5830
1254,770
1255,769
1256,5828
1257,767
1258,5825
1259,766
1260,5821
1261,765
1262,5816
1263,768
1264,764
1265,5814
1266,5808
1267,761
1268,5798
1269,5796
1270,762
1271,760
1272,5794
1273,5790
1274,759
1275,758
1276,5786
1277,5781
1278,757
1279,5778
1280,755
1281,5775
1282,5771
1283,756
1284,753
1285,5760
1286,752
1287,5758
1288,750
1289,5748
1290,5745
1291,751
1292,749
1293,5736
1294,748
1295,5734
1296,5730
1297,747
1298,746
1299,5722
1300,744
1301,5710
1302,745
1303,743
1304,5707
1305,742
1306,741
1307,5704
1308,5702
1309,740
1310,738
1311,5700
1312,5698
1313,5690
1314,736
1315,735
1316,5680
1317,5676
1318,734
1319,733
1320,5671
1321,732
1322,5669
1323,730
1324,5667
1325,728
1326,5665
1327,727
1328,5662
1329,725
1330,5658
1331,5654
1332,726
1333,724
1334,5652
1335,723
1336,722
1337,721
1338,5650
1339,719
1340,5647
1341,5643
1342,718
1343,5640
1344,717
1345,5636
1346,716
1347,720
1348,715
1349,5634
1350,714
1351,5631
1352,5629
1353,713
1354,712
1355,5622
1356,711
1357,5620
1358,710
1359,5616
1360,5612
1361,709
1362,708
1363,5608
1364,5605
1365,707
1366,5602
1367,705
1368,5597
1369,5594
1370,706
1371,704
1372,5586
1373,5583
1374,703
1375,702
1376,5580
1377,700
1378,5571
1379,699
1380,701
1381,5566
1382,697
1383,5564
1384,695
1385,5561
1386,5557
